Day,Time,Average
2018-02-06,19:00:00,-2.835693056
2018-02-06,20:00:00,-1.417078333
2018-02-06,21:00:00,-1.196196389
2018-02-06,22:00:00,-1.243494722
2018-02-06,23:00:00,-1.040369722
2018-02-07,0:00:00,-0.961408889
2018-02-07,1:00:00,-0.8044675
2018-02-07,2:00:00,-0.8575925
2018-02-07,3:00:00,-0.860923889
2018-02-07,4:00:00,-0.779375
2018-02-07,5:00:00,-0.841193056
2018-02-07,6:00:00,-0.926695278
2018-02-07,7:00:00,-0.947858611
2018-02-07,8:00:00,-0.949723889
2018-02-07,9:00:00,-3.436226667
2018-02-07,10:00:00,-2.983789444
2018-02-07,11:00:00,-1.817064167
2018-02-07,12:00:00,-0.857542778
2018-02-07,13:00:00,-0.926436389
2018-02-07,14:00:00,-1.588249167
2018-02-07,15:00:00,-1.751493611
2018-02-07,16:00:00,-1.056120278
2018-02-07,17:00:00,-2.652868333
2018-02-07,18:00:00,-1.887218333
2018-02-07,19:00:00,-1.652267222
2018-02-07,20:00:00,-1.536907778
2018-02-07,21:00:00,-1.116818333
2018-02-07,22:00:00,-1.147456111
2018-02-07,23:00:00,-0.888740278
